title,price,rating,availability,rating_numeric,sentiment
Sophie's World,15.94,Five,0,5,Positive
Penny Maybe,33.29,Three,0,3,Neutral
Maude (1883-1993):She Grew Up with the country,18.02,Two,0,2,Negative
"In a Dark, Dark Wood",19.63,One,0,1,Negative
Behind Closed Doors,52.22,Four,0,4,Positive
You can't bury them all: Poems,33.63,Two,0,2,Negative
Slow States of Collapse: Poems,57.31,Three,0,3,Neutral
Reasons to Stay Alive,26.41,Two,0,2,Negative
Private Paris (Private #10),47.61,Five,0,5,Positive
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,Five,0,5,Positive
Without Borders (Wanderlove #1),45.07,Two,0,2,Negative
When We Collided,31.77,One,0,1,Negative
"We Love You, Charlie Freeman",50.27,Five,0,5,Positive
Untitled Collection: Sabbath Poems 2014,14.27,Four,0,4,Positive
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,Four,0,4,Positive
Unicorn Tracks,18.78,Three,0,3,Neutral
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,One,0,1,Negative
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,One,0,1,Negative
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,Three,0,3,Neutral
This One Summer,19.49,Four,0,4,Positive
Thirst,17.27,Five,0,5,Positive
The Torch Is Passed: A Harding Family Story,19.09,One,0,1,Negative
The Secret of Dreadwillow Carse,56.13,One,0,1,Negative
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,One,0,1,Negative
The Past Never Ends,56.5,Four,0,4,Positive
The Natural History of Us (The Fine Art of Pretending #2),45.22,Three,0,3,Neutral
The Nameless City (The Nameless City #1),38.16,Four,0,4,Positive
The Murder That Never Was (Forensic Instincts #5),54.11,Three,0,3,Neutral
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,Four,0,4,Positive
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,Four,0,4,Positive
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,Three,0,3,Neutral
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,Five,0,5,Positive
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,One,0,1,Negative
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,One,0,1,Negative
The Death of Humanity: and the Case for Life,58.11,Four,0,4,Positive
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,Three,0,3,Neutral
The Art Forger,40.76,Three,0,3,Neutral
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,One,0,1,Negative
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,Five,0,5,Positive
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,Four,0,4,Positive
Soul Reader,39.58,Two,0,2,Negative
Security,39.25,Two,0,2,Negative
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,Three,0,3,Neutral
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,Two,0,2,Negative
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,Two,0,2,Negative
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,Three,0,3,Neutral
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,Five,0,5,Positive
Princess Between Worlds (Wide-Awake Princess #5),13.34,Five,0,5,Positive
"Pop Gun War, Volume 1: Gift",18.97,One,0,1,Negative
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,Two,0,2,Negative
Patience,10.16,Three,0,3,Neutral
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,Four,0,4,Positive
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,One,0,1,Negative
Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,One,0,1,Negative
On a Midnight Clear,14.07,Three,0,3,Neutral
Obsidian (Lux #1),14.86,Two,0,2,Negative
My Paris Kitchen: Recipes and Stories,33.37,Two,0,2,Negative
Masks and Shadows,56.4,Two,0,2,Negative
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,Four,0,4,Positive
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,Two,0,2,Negative
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,Three,0,3,Neutral
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,Two,0,2,Negative
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,One,0,1,Negative
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,Two,0,2,Negative
Join,35.67,Five,0,5,Positive
In the Country We Love: My Family Divided,22.0,Four,0,4,Positive
