title,price,rating,availability,rating_numeric
The Natural History of Us (The Fine Art of Pretending #2),45.22,Three,0,3
The Nameless City (The Nameless City #1),38.16,Four,0,4
The Murder That Never Was (Forensic Instincts #5),54.11,Three,0,3
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,Four,0,4
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,Four,0,4
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,Three,0,3
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,Five,0,5
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,One,0,1
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,One,0,1
The Death of Humanity: and the Case for Life,58.11,Four,0,4
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,Three,0,3
The Art Forger,40.76,Three,0,3
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,One,0,1
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,Five,0,5
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,Four,0,4
Soul Reader,39.58,Two,0,2
Security,39.25,Two,0,2
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,Three,0,3
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,Two,0,2
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,Two,0,2
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,Three,0,3
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,Five,0,5
Princess Between Worlds (Wide-Awake Princess #5),13.34,Five,0,5
"Pop Gun War, Volume 1: Gift",18.97,One,0,1
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,Two,0,2
Patience,10.16,Three,0,3
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,Four,0,4
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,One,0,1
Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,One,0,1
On a Midnight Clear,14.07,Three,0,3
Obsidian (Lux #1),14.86,Two,0,2
My Paris Kitchen: Recipes and Stories,33.37,Two,0,2
Masks and Shadows,56.4,Two,0,2
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,Four,0,4
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,Two,0,2
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,Three,0,3
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,Two,0,2
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,One,0,1
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,Two,0,2
Join,35.67,Five,0,5
In the Country We Love: My Family Divided,22.0,Four,0,4
